,City,State,Address,lon,lat,Region,Team
264,North Manchester,IN,"North Manchester, IN",-85.768597,41.0006005,MidWest,Manchester
265,Riverdale,NY,"Riverdale, NY",-73.9109977,40.8940853,MidAtlantic,Manhattan
266,Poughkeepsie,NY,"Poughkeepsie, NY",-73.9209701,41.7003713,MidAtlantic,Marist
267,Mars Hill,NC,"Mars Hill, NC",-82.5492999,35.8264981,South,Mars Hill
268,Huntington,WV,"Huntington, WV",-82.445154,38.4192496,MidAtlantic,Marshall
269,Bismarck,ND,"Bismarck, ND",-100.7837392,46.8083268,West,Mary
270,Fredericksburg,VA,"Fredericksburg, VA",-77.4605399,38.3031837,MidAtlantic,Mary Washington
271,Arlington,VA,"Arlington, VA",-77.0909809,38.8816208,MidAtlantic,Marymount
272,Maryville,TN,"Maryville, TN",-83.9704593,35.7564719,South,Maryville
273,Scranton,PA,"Scranton, PA",-75.6624122,41.408969,MidAtlantic,Marywood
274,Amherst,MA,"Amherst, MA",-72.5198537,42.3732216,NewEngland,Massachusetts
275,Westminster,MD,"Westminster, MD",-76.9958149,39.5753791,MidAtlantic,McDaniel
276,Lebanon,IL,"Lebanon, IL",-89.8073195,38.6039375,MidWest,McKendree
277,Abilene,TX,"Abilene, TX",-99.7331439,32.4487364,SouthWest,McMurry
278,North Andover,MA,"North Andover, MA",-71.1350575,42.6987024,NewEngland,Merrimack
279,Mechanicsburg,PA,"Mechanicsburg, PA",-77.0085876,40.2142565,MidAtlantic,Messiah
280,Coral Gables,FL,"Coral Gables, FL",-80.2635411,25.7491968,South,Miami
281,Oxford,OH,"Oxford, OH",-84.745231,39.5069974,MidWest,Miami OH
282,Ann Arbor,MI,"Ann Arbor, MI",-83.7430378,42.2808256,MidWest,Michigan
283,East Lansing,MI,"East Lansing, MI",-84.4838654,42.7369792,MidWest,Michigan State
284,Middlebury,VT,"Middlebury, VT",-73.16734,44.0153371,NewEngland,Middlebury
285,NA,NA,NA,NA,NA,NA,Millersville
286,Decatur,IL,"Decatur, IL",-88.9548001,39.8403147,MidWest,Millikin
287,Oakland,CA,"Oakland, CA",-122.2711137,37.8043637,Pacific,Mills
288,Minneapolis,MN,"Minneapolis, MN",-93.2650108,44.977753,MidWest,Minnesota
289,Mankato,MN,"Mankato, MN",-93.9993996,44.1635775,MidWest,Minnesota State Mankato
290,Moorhead,MN,"Moorhead, MN",-96.7678039,46.8737648,MidWest,Minnesota State Moorhead
291,Morris,MN,"Morris, MN",-95.9188889,45.5919444,MidWest,Minnesota-Morris
292,Dallas,PA,"Dallas, PA",-75.9632546,41.3361911,MidAtlantic,Misericordia
293,Columbia,MO,"Columbia, MO",-92.3340724,38.9517053,MidWest,Missouri
294,Rolla,MO,"Rolla, MO",-91.7715303,37.948544,MidWest,Missouri S&T
295,St. Louis,MO,"St. Louis, MO",-90.1994042,38.6270025,MidWest,Missouri Saint Louis
296,Springfield,MO,"Springfield, MO",-93.2922989,37.2089572,MidWest,Missouri State
297,Monmouth,IL,"Monmouth, IL",-90.6473576,40.9114271,MidWest,Monmouth
298,Montclair,NJ,"Montclair, NJ",-74.2090053,40.8259007,MidAtlantic,Montclair State
299,South Hadley,MA,"South Hadley, MA",-72.5747934,42.2591729,NewEngland,Mount Holyoke
300,Newburgh,NY,"Newburgh, NY",-74.0104178,41.5034271,MidAtlantic,Mount Saint Mary
301,Emmitsburg,MD,"Emmitsburg, MD",-77.3269307,39.7045417,MidAtlantic,Mount Saint Mary's
302,Alliance,OH,"Alliance, OH",-81.1059309,40.9153362,MidWest,Mount Union
303,Raleigh,NC,"Raleigh, NC",-78.6381787,35.7795897,South,NC State
304,New York,NY,"New York, NY",-74.0059728,40.7127753,MidAtlantic,NYU
305,Annapolis,MD,"Annapolis, MD",-76.4921829,38.9784453,MidAtlantic,Navy
306,Rochester,NY,"Rochester, NY",-77.6088465,43.1565779,MidAtlantic,Nazareth
307,Lincoln,NE,"Lincoln, NE",-96.7025955,40.813616,West,Nebraska
308,Kearney,NE,"Kearney, NE",-99.0816784,40.6993303,West,Nebraska Kearney
309,Lincoln,NE,"Lincoln, NE",-96.7025955,40.813616,West,Nebraska Wesleyan
310,Reno,NV,"Reno, NV",-119.8138027,39.5296329,West,Nevada
311,Biddeford,ME,"Biddeford, ME",-70.4533844,43.4925843,NewEngland,New England
